Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,
"Give/Take",1,48528,Uncommon,DGM,,No
"Glacial Chasm",1,30456,Rare,ME2,229/245,No
"Glacial Plating",1,24663,Uncommon,CSP,7/155,No
"Glaring Spotlight",1,47813,Rare,GTC,229/249,No
"Glassdust Hulk",1,32302,Common,ARB,7/145,No
"Gleam of Authority",1,56362,Rare,DTK,19/264,No
"Gleam of Battle",1,48324,Uncommon,DGM,73/156,No
"Gleaming Barrier",1,66821,Common,RIX,178/196,No
"Gleancrawler",1,23059,Rare,RAV,247/306,Yes
"Glen Elendra Archmage",1,48786,Rare,MMA,47/229,No
"Glimmerpoint Stag",1,37963,Uncommon,SOM,9/249,No
"Glimpse of Nature",1,21105,Rare,CHK,210/306,No
"Glimpse the Sun God",1,51767,Uncommon,BNG,13/165,No
"Glint-Eye Nephilim",1,23887,Rare,GPT,115/165,No
"Glissa Sunseeker",1,19667,Rare,MRD,120/306,No
"Glissa, the Traitor",1,39618,Mythic Rare,PRM,550/1158,No
"Glistening Oil",1,39704,Rare,NPH,62/175,No
"Glittering Wish",1,26868,Rare,FUT,156/180,No
"Gloomwidow",1,59748,Uncommon,SOI,206/297,No
"Glorious End",1,63868,Mythic Rare,AKH,133/269,No
"Glory",1,17420,Rare,JUD,11/143,No
"Glory-Bound Initiate",1,63634,Rare,AKH,16/269,No
"Gloryscale Viashino",1,32498,Uncommon,ARB,120/145,No
"Glyph Keeper",1,63712,Rare,AKH,55/269,No
"Gnarled Scarhide",1,52212,Uncommon,JOU,72/165,No
"Gobhobbler Rats",1,24279,Common,DIS,111/180,No
"Goblin Artillery",1,32865,Uncommon,M10,138/249,No
"Goblin Cadets",1,12397,Uncommon,UZ,189/350,No
"Goblin Cannon",1,20682,Uncommon,5DN,125/165,No
"Goblin Chirurgeon",1,27989,Common,MED,94/195,No
"Goblin Dark-Dwellers",1,59673,Promo,PRM,/1158,No
"Goblin Diplomats",1,49434,Rare,M14,141/249,Yes
"Goblin Furrier",1,24625,Common,CSP,82/155,No
"Goblin Game",1,15137,Rare,PS,61/143,No
"Goblin General",1,52710,Common,VMA,165/325,Yes
"Goblin Kaboomist",1,53527,Rare,M15,144/269,Yes
"Goblin King",1,15568,Rare,7E,190/350,No
"Goblin Lackey",1,12403,Uncommon,UZ,190/350,No
"Goblin Marshal",1,12881,Rare,UD,85/143,No
"Goblin Offensive",1,11915,Uncommon,UZ,192/350,No
"Goblin Recruiter",1,7567,Uncommon,VI,80/167,No
"Goblin Rimerunner",1,24679,Common,CSP,83/155,No
"Goblin Ringleader",1,53073,Uncommon,VMA,171/325,No
"Goblin Sharpshooter",1,59107,Rare,PZ1,62/149,No
"Goblin Snowman",1,26051,Rare,TSB,64/121,No
"Goblin Spymaster",1,62345,Rare,PZ2,25/73,No
"Goblin Trailblazer",1,66663,Common,RIX,105/196,No
"Goblin Tunneler",1,36366,Common,ROE,148/248,No
"Goblin War Strike",1,18844,Common,SCG,96/143,No
"Goblin Warrens",1,38842,Uncommon,ME4,123/260,No
"Goblin Welder",1,54727,Rare,C14,177/337,No
"Goblin Wizard",1,27961,Rare,MED,97/195,No
"Godless Shrine",1,47453,Rare,GTC,242/249,No
"God-Pharaoh's Faithful",1,64512,Common,HOU,14/199,No
"God-Pharaoh's Gift",1,64846,Rare,HOU,161/199,No
"Gods' Eye, Gate to the Reikai",1,21903,Uncommon,BOK,164/165,No
"Gods Willing",1,50478,Common,THS,16/249,No
"Golden Demise",1,66599,Uncommon,RIX,73/196,No
"Golden Guardian",1,66823,Rare,RIX,179/196,No
"Golden Hind",1,52072,Common,JOU,124/165,No
"Goldenhide Ox",1,52200,Uncommon,JOU,125/165,No
"Goldmeadow Harrier",1,28185,Common,LRW,17/301,No
"Goldmeadow Lookout",1,26664,Uncommon,FUT,22/180,No
"Goldmeadow Stalwart",1,28531,Uncommon,LRW,18/301,No
"Goldnight Castigator",1,60184,Mythic Rare,SOI,162/297,No
"Golem's Heart",1,38130,Uncommon,SOM,161/249,Yes
"Golgari Brownscale",1,23328,Common,RAV,166/306,No
"Golgari Charm",1,46451,Uncommon,RTR,164/274,No
"Golgari Cluestone",1,48460,Common,DGM,139/156,No
"Golgari Germination",1,23460,Uncommon,RAV,209/306,No
"Golgari Guildgate",1,46383,Common,RTR,239/274,No
"Golgari Guildmage",1,40722,Uncommon,CMD,201/318,No
"Golgari Keyrune",1,46467,Uncommon,RTR,229/274,No
"Goliath Sphinx",1,35685,Rare,WWK,28/145,No
"Goliath Spider",1,23316,Uncommon,RAV,168/306,No
"Gorehorn Minotaurs",1,41279,Common,M12,144/249,No
"Gorgon Flail",1,32908,Uncommon,M10,211/249,Yes
"Gorgon Recluse",1,25857,Common,TSP,111/301,No
"Gorgon's Head",1,51560,Uncommon,BNG,158/165,Yes
"Goring Ceratops",1,65036,Rare,XLN,13/279,No
"Govern the Guildless",1,24203,Rare,DIS,25/180,No
"Grafted Exoskeleton",1,38263,Uncommon,SOM,162/249,No
"Grafted Skullcap",1,15580,Rare,7E,298/350,No
"Grafted Wargear",1,20755,Uncommon,5DN,126/165,Yes
"Grand Abolisher",1,41387,Rare,M12,19/249,No
"Grand Arbiter Augustin IV",1,49016,Rare,MMA,176/229,No
"Grand Coliseum",1,18271,Rare,ONS,319/350,No
"Grand Melee",1,17651,Rare,ONS,211/350,No
"Grandmother Sengir",1,30624,Rare,ME2,93/245,No
"Granite Gargoyle",1,27793,Uncommon,MED,99/195,No
"Granitic Titan",1,64674,Common,HOU,95/199,No
"Grappler Spider",1,35575,Common,WWK,102/145,No
"Grappling Hook",1,34671,Rare,ZEN,203/249,Yes
"Grasping Dunes",1,64150,Uncommon,AKH,244/269,No
"Grasping Scoundrel",1,66601,Common,RIX,74/196,No
"Grasslands",1,52611,Uncommon,VMA,299/325,No
"Grave Betrayal",1,46743,Rare,RTR,67/274,No
"Grave Pact",1,19575,Rare,8ED,137/350,No
"Grave Scrabbler",1,26770,Common,FUT,86/180,No
"Grave Titan",1,41295,Mythic Rare,M12,98/249,No
"Grave Upheaval",1,62351,Uncommon,PZ2,41/73,No
"Gravebind",1,38850,Common,ME4,84/260,No
"Graven Abomination",1,64848,Common,HOU,162/199,No
"Graven Cairns",1,26702,Rare,FUT,175/180,No
"Graverobber Spider",1,51697,Uncommon,BNG,122/165,No
"Grave-Shell Scarab",1,23419,Rare,RAV,211/306,Yes
"Gravespawn Sovereign",1,17973,Rare,ONS,152/350,No
"Graypelt Refuge",1,34580,Uncommon,ZEN,214/249,No
"Grazing Whiptail",1,65398,Common,XLN,190/279,No
"Great Sable Stag",1,32969,Rare,M10,186/249,No
"Greater Forgeling",1,23200,Uncommon,RAV,129/306,No
"Greater Gargadon",1,25581,Rare,TSP,161/301,No
"Greater Good",1,22877,Rare,9ED,245/350,No
"Greater Sandwurm",1,63938,Common,AKH,168/269,No
"Greater Stone Spirit",1,24659,Uncommon,CSP,84/155,No
"Greatsword",1,41470,Uncommon,M12,209/249,Yes
"Greel, Mind Raker",1,14043,Rare,PR,66/143,No
"Green Sun's Zenith",1,39581,Rare,MBS,81/155,No
"Greener Pastures",1,12111,Rare,UZ,258/350,No
"Greenwarden of Murasa",1,58639,Mythic Rare,BFZ,174/274,No
"Grenzo, Dungeon Warden",1,53211,Rare,VMA,254/325,No
"Grenzo, Havoc Raiser",1,62273,Rare,PZ2,29/73,No
"Grid Monitor",1,19887,Rare,MRD,183/306,No
"Griffin Canyon",1,7573,Rare,VI,163/167,No
"Grifter's Blade",1,23031,Uncommon,RAV,263/306,Yes
"Grim Affliction",1,39758,Common,NPH,63/175,No
"Grim Backwoods",1,43487,Rare,DKA,156/158,No
"Grim Contest",1,55645,Common,FRF,153/185,Yes
"Grim Feast",1,7025,Rare,MI,265/350,No
"Grim Poppet",1,29485,Rare,SHM,252/301,No
"Grim Strider",1,63790,Uncommon,AKH,94/269,No
"Grimgrin, Corpse-Born",1,42766,Mythic Rare,ISD,214/264,No
"Grimoire of the Dead",1,42564,Mythic Rare,ISD,226/264,No
"Grindclock",1,53341,Rare,M15,217/269,Yes
"Grinding Station",1,20840,Uncommon,5DN,127/165,No
"Grinning Ignus",1,26810,Common,FUT,116/180,No
"Grip of Chaos",1,18704,Rare,SCG,98/143,No
"Grip of Phyresis",1,62291,Uncommon,PZ2,12/73,No
"Grisly Salvage",1,46375,Common,RTR,165/274,No
"Grisly Spectacle",1,47725,Common,GTC,66/249,No
"Grisly Survivor",1,64612,Common,HOU,64/199,No
"Grixis Charm",1,30869,Uncommon,ALA,171/249,No
"Grixis Grimblade",1,32470,Common,ARB,134/145,No
"Grixis Panorama",1,31321,Common,ALA,224/249,No
"Grixis Sojourners",1,32462,Common,ARB,112/145,No
"Grizzled Leotau",1,32484,Common,ARB,69/145,No
"Grotag Siege-Runner",1,36458,Common,ROE,149/248,No
"Ground Seal",1,45687,Rare,M13,176/249,Yes
"Groundbreaker",1,36072,Rare,PRM,454/1158,No
"Growing Rites of Itlimoc",1,65400,Rare,XLN,191/279,No
"Growth Spasm",1,36500,Common,ROE,186/248,No
"Grozoth",1,23098,Rare,RAV,53/306,No
"Gruesome Fate",1,66603,Common,RIX,75/196,No
"Gruul Cluestone",1,48466,Common,DGM,140/156,No
"Gruul Guildgate",1,47455,Common,GTC,243/249,No
"Gruul Turf",1,57468,Uncommon,MM2,244/249,No
"Guan Yu, Sainted Warrior",1,33766,Uncommon,ME3,12/230,No
"Guardian Beast",1,38672,Rare,ME4,85/260,No
"Guardian of Tazeem",1,58603,Rare,BFZ,78/274,No
"Guardian of the Ages",1,49492,Rare,M14,211/249,Yes
"Guardian Seraph",1,32835,Rare,M10,13/249,No
"Guardian Zendikon",1,35701,Common,WWK,6/145,No
"Guiding Spirit",1,7575,Rare,VI,131/167,No
"Guiltfeeder",1,17364,Rare,JUD,68/143,No
"Gust Walker",1,63636,Common,AKH,17/269,No
"Gustha's Scepter",1,30668,Rare,ME2,209/245,No
"Guul Draz Specter",1,34514,Rare,ZEN,92/249,No
"Gwafa Hazid, Profiteer",1,31890,Rare,CON,110/145,Yes
"Gwendlyn Di Corci",1,33700,Rare,ME3,149/230,No
"Gwyllion Hedge-Mage",1,40529,Uncommon,CMD,202/318,No
"Haakon, Stromgald Scourge",1,24775,Rare,CSP,61/155,No
"Hakim, Loreweaver",1,7029,Rare,MI,68/350,No
"Halfdane",1,33702,Rare,ME3,150/230,No
"Halimar Depths",1,35521,Common,WWK,137/145,No
"Halimar Wavewatch",1,36712,Common,ROE,72/248,No
"Hall of Gemstone",1,7031,Rare,MI,221/350,No
"Hall of Triumph",1,51972,Rare,JOU,162/165,No
"Hallowed Burial",1,30182,Rare,EVE,7/180,No
"Hallowed Fountain",1,46503,Rare,RTR,241/274,No
"Hallowed Ground",1,28035,Uncommon,MED,14/195,No
"Hamletback Goliath",1,45240,Rare,M13,136/249,No
"Hammer of Nazahn",1,65669,Rare,PZ2,/309,No
"Hammer of Purphoros",1,50410,Rare,THS,124/249,No
"Hammer of Ruin",1,35628,Uncommon,WWK,124/145,Yes
"Hand of Justice",1,27993,Rare,MED,15/195,No
"Hand of the Praetors",1,38427,Rare,SOM,66/249,No
"Hands of Binding",1,47664,Common,GTC,37/249,Yes
"Hangarback Walker",1,58128,Rare,ORI,229/272,No
"Hanna, Ship's Navigator",1,14881,Rare,IN,249/350,No
"Hanweir Lancer",1,43983,Common,AVR,138/244,No
"Hapatra, Vizier of Poisons",1,64000,Rare,AKH,199/269,No
"Hapatra's Mark",1,63940,Uncommon,AKH,169/269,No
"Harbinger of Night",1,7035,Rare,MI,128/350,No
"Harbinger of the Hunt",1,56344,Rare,DTK,223/264,No
"Harbinger of the Tides",1,57912,Rare,ORI,58/272,No
"Hardy Veteran",1,66717,Common,RIX,132/196,No
"Harmonic Sliver",1,25509,Uncommon,TSP,240/301,No
"Harpoon Sniper",1,28226,Uncommon,LRW,19/301,Yes
"Harrier Naga",1,64720,Common,HOU,118/199,No
"Harrow",1,35411,Common,DDE,57/71,No
"Harsh Deceiver",1,21137,Common,CHK,11/306,No
"Harsh Mentor",1,63872,Rare,AKH,135/269,No
"Harsh Scrutiny",1,61693,Uncommon,KLD,85/264,No
"Harvest Season",1,63942,Rare,AKH,170/269,No
"Harvester of Souls",1,43873,Rare,AVR,107/244,No
"Hashep Oasis",1,64878,Uncommon,HOU,177/199,No
"Hateflayer",1,30062,Rare,EVE,55/180,No
"Haunted Cloak",1,60368,Uncommon,SOI,257/297,No
"Haunting Echoes",1,37274,Rare,M11,99/249,No
"Haven of the Spirit Dragon",1,55914,Rare,DTK,249/264,No
"Havengul Lich",1,43423,Mythic Rare,DKA,139/158,No
"Havenwood Battleground",1,30346,Uncommon,ME2,230/245,No
"Havoc Festival",1,46775,Rare,RTR,166/274,No
"Haze of Pollen",1,63944,Common,AKH,171/269,No
"Haze of Rage",1,26948,Uncommon,FUT,100/180,No
"Hazezon Tamar",1,23957,Rare,PRM,39/1158,Yes
"Hazoret the Fervent",1,63874,Mythic Rare,AKH,136/269,No
"Hazoret's Favor",1,63876,Rare,AKH,137/269,No
"Hazoret's Monument",1,64120,Uncommon,AKH,229/269,No
"Hazoret's Undying Fury",1,64676,Rare,HOU,96/199,No
"He Who Hungers",1,21495,Rare,CHK,114/306,No
"Headhunter",1,17917,Uncommon,ONS,156/350,No
"Headwater Sentries",1,65128,Common,XLN,58/279,No
"Healer's Headdress",1,20821,Common,5DN,129/165,Yes
"Heart of Bogardan",1,9319,Rare,WL,106/167,No
"Heart of Ramos",1,13375,Rare,MM,296/350,No
"Heart of Yavimaya",1,30670,Rare,ME2,231/245,No
"Heart Sliver",1,9573,Common,TE,182/350,No
"Heartbeat of Spring",1,21077,Rare,CHK,212/306,No
"Hearthcage Giant",1,28383,Uncommon,LRW,174/301,No
"Heartless Summoning",1,42686,Rare,ISD,104/264,No
"Heart-Piercer Manticore",1,63878,Rare,AKH,138/269,No
"Heartseeker",1,20294,Rare,DST,124/165,Yes
"Heartstone",1,35316,Uncommon,H09,26/41,Yes
"Heartwood Dryad",1,9544,Common,TE,231/350,Yes
"Heartwood Storyteller",1,26780,Rare,FUT,127/180,No
"Heat Stroke",1,9315,Rare,WL,107/167,No
"Heavy Arbalest",1,38272,Uncommon,SOM,164/249,Yes
"Heavy Mattock",1,43248,Common,DKA,150/158,Yes
"Hedonist's Trove",1,56130,Rare,DTK,106/264,No
"Hedron Archive",1,58511,Uncommon,BFZ,223/274,No
"Hedron Matrix",1,36513,Rare,ROE,218/248,Yes
"Heirloom Blade",1,65683,Uncommon,PZ2,/309,No
"Hekma Sentinels",1,63714,Common,AKH,56/269,No
"Heliod, God of the Sun",1,50302,Mythic Rare,THS,17/249,No
"Heliod's Emissary",1,50484,Uncommon,THS,18/249,No
"Helix Pinnacle",1,29950,Rare,EVE,68/180,No
"Helldozer",1,23358,Rare,RAV,88/306,No
"Hellfire",1,33706,Rare,ME3,70/230,No
"Hellhole Flailer",1,46439,Uncommon,RTR,167/274,No
"Hellkite Charger",1,34538,Rare,ZEN,131/249,No
"Hellkite Igniter",1,39519,Rare,MBS,65/155,No
"Hellkite Overlord",1,31127,Mythic Rare,ALA,172/249,No
"Hellkite Tyrant",1,47929,Mythic Rare,GTC,94/249,No
"Hell's Caretaker",1,22965,Rare,9ED,137/350,No
"Helm of Awakening",1,7581,Uncommon,VI,145/167,No
"Helm of Possession",1,9757,Rare,TE,291/350,No
"Helm of the Ghastlord",1,29841,Common,SHM,166/301,No
"Hematite Golem",1,19847,Common,MRD,185/306,No
"Henge of Ramos",1,13105,Uncommon,MM,318/350,No
"Herald of Leshrac",1,24725,Rare,CSP,62/155,No
"Herald of Secret Streams",1,65130,Rare,XLN,59/279,No
"Herald of Serra",1,11777,Rare,UZ,17/350,No
"Herald of the Host",1,59182,Uncommon,PZ1,6/149,Yes
"Herald's Horn",1,65731,Uncommon,PZ2,/309,No
"Herbal Poultice",1,28425,Common,LRW,257/301,No
"Heritage Druid",1,60585,Rare,EMA,171/249,No
"Hero of Bladehold",1,39539,Mythic Rare,MBS,8/155,No
"Hero of Goma Fada",1,58635,Rare,BFZ,31/274,No
"Hero of Oxid Ridge",1,39483,Mythic Rare,MBS,66/155,No
"Heroes' Podium",1,51873,Rare,BNG,159/165,No
"Heroes' Reunion",1,14584,Uncommon,IN,250/350,Yes
"Hero's Blade",1,55482,Uncommon,FRF,160/185,No
"Hero's Demise",1,21731,Rare,BOK,68/165,No
"Hero's Downfall",1,50596,Rare,THS,90/249,No
"Hex",1,40734,Rare,CMD,87/318,No
"Hibernation Sliver",1,10283,Uncommon,ST,128/143,No
"Hibernation's End",1,24553,Rare,CSP,110/155,No
"Hidden Dragonslayer",1,55944,Rare,DTK,23/264,No
"Hidden Stag",1,11873,Rare,UZ,265/350,No
"Hidden Stockpile",1,62819,Uncommon,AER,129/184,No
"Hidden Strings",1,48261,Common,DGM,12/156,Yes
"Hieroglyphic Illumination",1,63716,Common,AKH,57/269,No
"High Priest of Penance",1,47765,Rare,GTC,171/249,No
"Highland Game",1,54034,Common,KTK,135/269,No
"Highland Lake",1,59754,Uncommon,SOI,277/297,No
"Higure, the Still Wind",1,21719,Rare,BOK,37/165,No
"Hikari, Twilight Guardian",1,57403,Uncommon,MM2,18/249,Yes
"Hinder",1,21057,Uncommon,CHK,65/306,No
"Hindering Light",1,31287,Common,ALA,173/249,No
"Hisoka, Minamo Sensei",1,21083,Rare,CHK,66/306,No
"Hissing Quagmire",1,59255,Rare,OGW,171/184,No
"Hitchclaw Recluse",1,58060,Common,ORI,181/272,No
"Hive Mind",1,32809,Rare,M10,54/249,No
"Hivis of the Scale",1,7047,Rare,MI,182/350,No
"Hixus, Prison Warden",1,57798,Rare,ORI,19/272,No
"Hoarding Dragon",1,37494,Rare,M11,144/249,No
"Hoard-Smelter Dragon",1,38415,Rare,SOM,93/249,No
"Hokori, Dust Drinker",1,21889,Rare,BOK,7/165,No
"Holdout Settlement",1,59609,Common,OGW,172/184,No
"Holistic Wisdom",1,16563,Rare,OD,243/350,No
"Hollow One",1,64850,Rare,HOU,163/199,No
"Hollowborn Barghest",1,29471,Rare,SHM,68/301,No
"Hollowhenge Spirit",1,43159,Uncommon,DKA,10/158,No
"Holy Day",1,27042,Common,10E,21/383,No
"Holy Mantle",1,47637,Uncommon,GTC,17/249,No
"Homeward Path",1,59043,Rare,PZ1,141/149,No
"Homing Sliver",1,26630,Common,FUT,118/180,No
"Homura, Human Ascendant",1,22138,Rare,SOK,103/165,No
"Honed Khopesh",1,64122,Common,AKH,230/269,No
"Honored Crop-Captain",1,64002,Uncommon,AKH,200/269,No
"Honored Hydra",1,63946,Rare,AKH,172/269,No
"Honor-Worn Shaku",1,21177,Uncommon,CHK,254/306,No
"Hooded Brawler",1,63948,Common,AKH,173/269,No
"Hooded Horror",1,51406,Uncommon,C13,80/356,No
"Hooded Hydra",1,54410,Mythic Rare,KTK,136/269,No
"Hoofprints of the Stag",1,28617,Rare,LRW,21/301,No
"Hope Tender",1,64722,Uncommon,HOU,119/199,No
"Hopeful Eidolon",1,50140,Common,THS,19/249,No
"Horde of Boggarts",1,29609,Uncommon,SHM,94/301,No
"Hordeling Outburst",1,54362,Uncommon,KTK,111/269,No
"Horizon Scholar",1,50218,Uncommon,THS,51/249,No
"Horizon Seed",1,21419,Uncommon,CHK,15/306,No
"Horizon Spellbomb",1,38317,Common,SOM,165/249,No
"Horn of Greed",1,10289,Rare,ST,135/143,No
"Horn of Plenty",1,13153,Rare,MM,298/350,No
"Horned Helm",1,20829,Common,5DN,132/165,Yes
"Hornet Nest",1,53698,Rare,M15,177/269,No
"Hornet Queen",1,40660,Rare,CMD,159/318,No
"Hornswoggle",1,66531,Uncommon,RIX,39/196,No
"Horobi, Death's Wail",1,21245,Rare,CHK,117/306,No
"Horror of the Broken Lands",1,63792,Common,AKH,95/269,No
"Hostage Taker",1,65466,Rare,XLN,223/279,No
"Hostile Desert",1,64880,Rare,HOU,178/199,No
"Hot Soup",1,53557,Uncommon,M15,219/269,Yes
"Hour of Devastation",1,64678,Rare,HOU,97/199,No
"Hour of Eternity",1,64556,Rare,HOU,36/199,No
"Hour of Glory",1,64614,Rare,HOU,65/199,No
"Hour of Reckoning",1,40733,Rare,CMD,15/318,No
"Hour of Revelation",1,64514,Rare,HOU,15/199,No
"Hover Barrier",1,46671,Uncommon,RTR,40/274,No
"Howling Mine",1,22567,Rare,9ED,298/350,No
"Howltooth Hollow",1,28341,Rare,LRW,269/301,No
"Hua Tuo, Honored Physician",1,50882,Rare,C13,149/356,No
"Huatli, Radiant Champion",1,66773,Mythic Rare,RIX,159/196,No
"Huatli, Warrior Poet",1,65468,Mythic Rare,XLN,224/279,No
"Hull Breach",1,15145,Common,PS,111/143,No
"Humble Defector",1,55414,Uncommon,FRF,104/185,No
"Hunding Gjornersen",1,33530,Uncommon,ME3,152/230,No
"Hundred-Handed One",1,50372,Rare,THS,20/249,No
"Hundred-Talon Kami",1,21365,Common,CHK,16/306,No
"Hundroog",1,18435,Common,LGN,129/145,No
"Hungry Lynx",1,65711,Rare,PZ2,/309,No
"Hunted Horror",1,23384,Rare,RAV,90/306,No
"Hunted Wumpus",1,22791,Uncommon,9ED,248/350,No
"Hunters' Feast",1,37420,Common,M11,182/249,No
"Hunter's Prowess",1,51857,Rare,BNG,124/165,No
"Hunting Triad",1,29136,Uncommon,MOR,127/150,No
"Hunting Wilds",1,26301,Uncommon,PLC,130/165,No
"Hurloon Minotaur",1,33454,Common,ME3,102/230,No
"Hurloon Shaman",1,9189,Uncommon,WL,108/167,No
"Hurricane",1,16010,Rare,7E,252/350,No
"Hush",1,12081,Common,UZ,266/350,No
"Hydra Broodmaster",1,52170,Rare,JOU,128/165,No
"Hyena Pack",1,63880,Common,AKH,139/269,No
"Hymn of Rebirth",1,28043,Uncommon,MED,146/195,No
"Hypergenesis",1,25645,Rare,TSP,201/301,No
"Hypnotic Specter",1,33069,Rare,M10,100/249,No
"Hythonia the Cruel",1,50488,Mythic Rare,THS,91/249,No
"Ib Halfheart, Goblin Tactician",1,25699,Rare,TSP,163/301,No
"Icatian Lieutenant",1,28001,Common,MED,17/195,No
"Ice Cauldron",1,38852,Rare,ME4,206/260,No
"Icefall Regent",1,56064,Rare,DTK,58/264,No
"Icequake",1,30466,Common,ME2,94/245,No
"Ichor Rats",1,38021,Uncommon,SOM,67/249,No
"Ichor Slick",1,26738,Common,FUT,68/180,No
"Identity Crisis",1,32230,Rare,ARB,81/145,No
"Idle Thoughts",1,30205,Uncommon,EVE,23/180,Yes
"Idyllic Tutor",1,29132,Rare,MOR,12/150,No
"Ifnir Deadlands",1,64882,Uncommon,HOU,179/199,No
"Igneous Pouncer",1,32298,Common,ARB,40/145,No
"Ihsan's Shade",1,30626,Rare,ME2,95/245,No
"Iizuka the Ruthless",1,22102,Rare,SOK,104/165,No
"Ikra Shidiqi, the Usurper",1,62319,Mythic Rare,PZ2,58/73,No
"Ill-Gotten Gains",1,12361,Rare,UZ,138/350,No
"Ill-Tempered Cyclops",1,50338,Common,THS,125/249,No
"Illumination",1,7055,Uncommon,MI,21/350,No
"Illusionary Mask",1,33456,Rare,ME3,197/230,No
"Illusionary Servant",1,32645,Common,M10,57/249,No
"Illusions of Grandeur",1,28049,Rare,MED,40/195,No
"Illusory Gains",1,56350,Rare,DTK,59/264,No
"Illusory Wrappings",1,63718,Common,AKH,58/269,No
"Imaginary Threats",1,64558,Uncommon,HOU,37/199,No
"Immaculate Magistrate",1,28722,Rare,LRW,219/301,Yes
"Imminent Doom",1,64680,Rare,HOU,98/199,No
"Immortal Servitude",1,47761,Rare,GTC,220/249,No
"Impact Tremors",1,56250,Common,DTK,140/264,No
"Impale",1,66605,Common,RIX,76/196,No
"Imperial Ceratops",1,66473,Uncommon,RIX,10/196,No
"Imperiosaur",1,48642,Common,MMA,148/229,No
"Imposing Sovereign",1,49575,Rare,M14,22/249,No
"Improvised Armor",1,17727,Uncommon,ONS,40/350,No
"In Garruk's Wake",1,53704,Rare,M15,100/269,No
"In Oketra's Name",1,63640,Common,AKH,19/269,No
"Inalla, Archmage Ritualist",1,65737,Mythic Rare,PZ2,/309,No
"Iname as One",1,22098,Rare,SOK,151/165,No
"Iname, Death Aspect",1,21273,Rare,CHK,118/306,No
"Iname, Life Aspect",1,21249,Rare,CHK,215/306,No
"Increasing Ambition",1,43389,Rare,DKA,69/158,No
"Increasing Confusion",1,43431,Rare,DKA,41/158,No
"Increasing Devotion",1,43454,Rare,DKA,11/158,Yes
"Indentured Djinn",1,13407,Uncommon,MM,85/350,No
"Indestructibility",1,49162,Rare,M14,23/249,Yes
"Indomitable Ancients",1,29138,Rare,MOR,13/150,No
"Induce Paranoia",1,23094,Common,RAV,56/306,No
"Induced Amnesia",1,66533,Rare,RIX,40/196,No
"Indulgent Tormentor",1,53605,Rare,M15,101/269,Yes
"Inexorable Tide",1,38091,Rare,SOM,35/249,No
"Infected Vermin",1,16795,Uncommon,OD,144/350,No
"Infectious Bloodlust",1,58030,Common,ORI,152/272,No
"Infectious Host",1,23254,Common,RAV,91/306,No
"Infectious Rage",1,17532,Uncommon,JUD,92/143,No
"Infernal Genesis",1,14229,Rare,PR,68/143,No
"Infernal Kirin",1,22234,Rare,SOK,72/165,No
"Infernal Tribute",1,9285,Rare,WL,73/167,No
"Inferno Jet",1,64682,Uncommon,HOU,99/199,No
"Inferno Titan",1,41315,Mythic Rare,M12,147/249,No
"Infested Roothold",1,20557,Uncommon,DST,76/165,No
"Infiltrator's Magemark",1,23907,Common,GPT,28/165,No
"Infused Arrows",1,20800,Uncommon,5DN,133/165,No
"Ingot Chewer",1,28705,Common,LRW,180/301,No
"Initiate of Blood",1,21227,Uncommon,CHK,173/306,No
"Initiate's Companion",1,63950,Common,AKH,174/269,No
"Ink Dissolver",1,29085,Common,MOR,36/150,Yes
"Ink-Eyes, Servant of Oni",1,45136,Rare,PC2,33/156,No
"Inkfathom Divers",1,28231,Common,LRW,70/301,No
"Ink-Treader Nephilim",1,23883,Rare,GPT,117/165,No
"Inkwell Leviathan",1,43110,Rare,PD3,10/30,Yes
"Inner Sanctum",1,9355,Rare,WL,18/167,No
"Inner-Flame Igniter",1,28279,Uncommon,LRW,182/301,No
"Inquisition of Kozilek",1,36360,Uncommon,ROE,115/248,No
"Inquisitor's Flail",1,42407,Uncommon,ISD,227/264,Yes
"Inquisitor's Ox",1,59858,Common,SOI,24/297,No
"Inside Out",1,30148,Common,EVE,103/180,No
"Inspiring Call",1,55972,Uncommon,DTK,191/264,No
"Insurrection",1,18091,Rare,ONS,213/350,No
"Intet, the Dreamer",1,26339,Rare,PLC,158/165,No
"Into the Fray",1,21942,Common,SOK,106/165,No
"Intrepid Hero",1,45705,Rare,M13,20/249,Yes
"Intruder Alarm",1,19631,Rare,8ED,86/350,No
"Inventor's Goggles",1,62051,Common,KLD,218/264,No
"Invigorated Rampage",1,62737,Uncommon,AER,86/184,No
"Invigorating Boon",1,18177,Uncommon,ONS,267/350,No
"Invincible Hymn",1,31107,Rare,ALA,14/249,No
"Invoke the Firemind",1,23615,Rare,GPT,118/165,No
"Iona, Shield of Emeria",1,57158,Mythic Rare,MM2,20/249,No
"Ipnu Rivulet",1,64884,Uncommon,HOU,180/199,No
"Ire Shaman",1,56102,Rare,DTK,141/264,No
"Iroas, God of Victory",1,52016,Mythic Rare,JOU,150/165,No
"Iron Maiden",1,12719,Rare,UL,127/143,No
"Iron Will",1,12723,Common,UL,10/143,No
"Ironhoof Ox",1,38944,Common,ME4,158/260,No
"Irrigated Farmland",1,64152,Rare,AKH,245/269,No
"Irrigation Ditch",1,14747,Common,IN,324/350,No
"Isamaru, Hound of Konda",1,21409,Rare,CHK,19/306,No
